Date,ADS_Index
1962:11:22,-0.16407
1962:11:23,-0.171303
1962:11:24,-0.178982
1962:11:25,-0.187109
1962:11:26,-0.195689
1962:11:27,-0.204722
1962:11:28,-0.214212
1962:11:29,-0.224163
1962:11:30,-0.234576
1962:12:01,-0.245456
1962:12:02,-0.255216
1962:12:03,-0.263861
1962:12:04,-0.271393
1962:12:05,-0.277813
1962:12:06,-0.283125
1962:12:07,-0.287329
1962:12:08,-0.290428
1962:12:09,-0.292421
1962:12:10,-0.293311
1962:12:11,-0.293096
1962:12:12,-0.291777
1962:12:13,-0.289354
1962:12:14,-0.285826
1962:12:15,-0.281191
1962:12:16,-0.275448
1962:12:17,-0.268596
1962:12:18,-0.260632
1962:12:19,-0.251554
1962:12:20,-0.241358
1962:12:21,-0.230043
1962:12:22,-0.217603
1962:12:23,-0.204036
1962:12:24,-0.189336
1962:12:25,-0.1735
1962:12:26,-0.156522
1962:12:27,-0.138397
1962:12:28,-0.11912
1962:12:29,-0.0986834
1962:12:30,-0.077082
1962:12:31,-0.0543086
1963:01:01,-0.0303561
1963:01:02,-0.00669648
1963:01:03,0.0166776
1963:01:04,0.0397736
1963:01:05,0.0625987
1963:01:06,0.0851601
1963:01:07,0.107465
1963:01:08,0.12952
1963:01:09,0.151332
1963:01:10,0.172909
1963:01:11,0.194257
1963:01:12,0.215382
1963:01:13,0.236292
1963:01:14,0.256992
1963:01:15,0.27749
1963:01:16,0.297792
1963:01:17,0.317904
1963:01:18,0.337832
1963:01:19,0.357583
1963:01:20,0.377163
1963:01:21,0.396579
1963:01:22,0.415835
1963:01:23,0.434939
1963:01:24,0.453896
1963:01:25,0.472712
1963:01:26,0.491394
1963:01:27,0.509947
1963:01:28,0.528376
1963:01:29,0.546688
1963:01:30,0.564889
1963:01:31,0.582983
1963:02:01,0.600978
1963:02:02,0.617855
1963:02:03,0.633621
1963:02:04,0.64828
1963:02:05,0.661837
1963:02:06,0.674296
1963:02:07,0.685661
1963:02:08,0.695935
1963:02:09,0.705122
1963:02:10,0.713225
1963:02:11,0.720246
1963:02:12,0.726188
1963:02:13,0.731052
1963:02:14,0.734839
1963:02:15,0.737552
1963:02:16,0.739191
1963:02:17,0.739755
1963:02:18,0.739247
1963:02:19,0.737665
1963:02:20,0.735009
1963:02:21,0.731278
1963:02:22,0.726471
1963:02:23,0.720586
1963:02:24,0.713622
1963:02:25,0.705576
1963:02:26,0.696446
1963:02:27,0.686229
1963:02:28,0.674921
1963:03:01,0.66252
1963:03:02,0.651196
1963:03:03,0.640945
1963:03:04,0.631765
1963:03:05,0.623652
1963:03:06,0.616604
1963:03:07,0.610618
1963:03:08,0.605693
1963:03:09,0.601828
1963:03:10,0.59902
1963:03:11,0.597269
1963:03:12,0.596575
1963:03:13,0.596938
